entry_num,gloss,otomian,trique,proto_mixtec,Unnamed: 5,zapotec_isthmus,Unnamed: 7,mazahua,totonac,popoluca,huave,chontal
200.0,"left
(side)",ngähä,nichrùun,,sati,bi1ga’3,"yegarha, rhebesle",,pakxuki,anájyim,,loxa
201.0,at,,,,nuu,,,,nag,,tiol,
202.0,in,"ja, nu",,,ini,,,kja,,,,lema al
203.0,"with
(accompanying)","-hu, -wi, ko",gà,,xiin,né2,,,ta,,lak,
204.0,and,ne,"dò', nè",,"tin, ta",ne2,,,,,i,y
205.0,if,"nu'bu̲, ha",sese,,vee,pa2,,,para,,tiol,janih
206.0,because,"ngetho, nge'ä",che'é rej,*wati,chi,pur1ti’3,,,,,,
207.0,name,thuhu,se-chuvìi,*sɨwɨʔ,kɨvɨ,lá,lha,,takuwiní,nï’jy,,laftine
208.0,house,nguu,ve',*weʔyi,ve'e,"yoo, lidxi",yo'o,ngumú,chiki,tïjc,iom,lajuł'
209.0,wall,jot'i,tacóó ve',*nawà,nama,cue’1 yoo3,ze'e,ndúngumú,,,,łaydał
210.0,deer,"hogu̲fani, fantho̲",xtaj,*isu,idu,bid1xi1ña2,"yixe’, bezinha’yixe’",pjant'eje,juki,jaychu,xukwaf,"łaxihnał, galwixgui, łomfahni"
211.0,mouse,ndongu,xtuu,*tɨyɨ`ʔ,lusu,bi1zi1ña2,bzinha,ngoo,tsiya,tsujc,,"łabi'fuh, gal.ledón"
212.0,rabbit,kwa,tucuya,,leso,le3xu1,beshjea,kjuaa,skáu,cunux,,"kaguo, łaga"
213.0,eagle,nxu̲ni,xtaa,,ya'a,,besia,zújnú,píchawa,,,galháguila (Spanish)
214.0,spider,mexe,tachré,,xindu'va,bid1xi1guí3,becozj,mexe,chawaná,pí’tpay,,galnoho
215.0,face,hmi,rihaan,,nuu,lú,,jmii,lakán,windugït,,laha
216.0,body,"ndo'yo, jä'i",man,,yɨkɨ kuñu,ladi,cuinha,nzero,mágni,,,alcuerpo (Spanish)
217.0,navel,ts'a̲i,stúj,*lendu,xitɨ ko'o,xqui1pi’3,xyicho’,sona,tampusni,pútsïc,,ladu
218.0,finger,nsa'ñe̲,ra'a,,xini,bicuini1 ná’2,xben,,,jïjp,,pofkibe
219.0,"sick 
(painful)",da̲thi,ran',,ku'u,huará,yizwe’ (sickness),,tatatlay,,ñukoy (pain),"łafgwana, łaxtafba"
220.0,needle,yofni,"cúú, cúú nuvá",,yɨkɨ,a1gu1xa’3 (Spanish),,,"lixtokon, litsapan",aguxa (Spanish),,łaguxa (Spanish)
221.0,clothing,bitu,yatzéj,,"sa'ma, toto",lari,xha,,slakát,jámuc,jely,tsamalo (shirt)
222.0,thunder,"nga̲ni, ñu̲ni",tu'vii,,taxan,,"chhachj, tin",,jilínit,ániway,,
223.0,lightning,jwe̲i,ta'an tu'vii,,taxan,ra2yu1 (Spanish),gozio',,"tajín, maglipa",,,lixcaflayh
224.0,above,maxo̲ts'e,"nuvìì, xtà'",,nɨnu,lu,,,taslmán,yucm,,aldonggáyh
225.0,below,"nga̲t'i, madu̲i",nicà',*nino,"vee, nɨnu",xa1gue1te’3,zi’rha,,tutsú,pa'tm,tiot,alhogay
226.0,to cough,hehe,achrínj,,kayu,rurú,,,kujunun,ojp,,ditseł'hma
227.0,to buy,"ta̲i, po̲hó","ránj, xcaj",,"kuaan, sata, ki'in",rizí',,,tamawá,,-uñ,dihnahma
228.0,to choose,jwahni,"narii, rii, une'",,nakaxi,ri1bí2,,,lagsagnán,,-rriujt,dihuijf'ehma
229.0,to grow,te,achij,,kua'nu,"rigaa, ri1nii1si2",chhegorha,,stagnán,ye’cp,-tang,didojhma
230.0,to open,"xoki, zo̲t'e",a'núj,*nuneʔ,kuiña,"ru1xha1le’3, rie1le’3",wesalhja,,malakí,tïnawatsp,-lyejk,dexihehma
